audienceScore,audienceScore_sentiment,criticsScore,criticsScore_certifiedAttribute,criticsScore_sentiment,lower_title,original_release_year,title
46,negative,41,False,negative,thegrudge,2013,The Grudge
50,negative,78,True,positive,thelittlehours,2017,The Little Hours
63,positive,,False,,theshepherd,2023,The Shepherd
15,negative,12,False,negative,theturning,2020,The Turning
20,negative,22,False,negative,zoolanderno.2,2016,Zoolander No. 2
45,negative,68,False,positive,charlie'sangels,2012,Charlie's Angels
42,negative,57,False,negative,circle,2016,Circle
61,positive,37,False,negative,flashdance,2013,Flashdance
9,negative,,False,,gameoflove,2022,Game of Love
45,negative,28,False,negative,gethard,2016,Get Hard
46,negative,41,False,negative,gold,2017,Gold
75,positive,63,False,positive,lovestory,2011,Love Story
40,negative,74,True,positive,momanddad,2018,Mom and Dad
84,positive,79,True,positive,openrange,2016,Open Range
42,negative,55,False,negative,osmosisjones,2007,Osmosis Jones
17,negative,28,False,negative,secretobsession,2019,Secret Obsession
53,negative,91,False,positive,thebirthofanation,2016,The Birth of a Nation
84,positive,79,True,positive,wayne'sworld,2013,Wayne's World
74,positive,75,True,positive,bronson,2017,Bronson
60,positive,50,False,negative,cityhunter,2017,City Hunter
82,positive,85,True,positive,deadringers,2016,Dead Ringers
55,negative,29,False,negative,dearjohn,2012,Dear John
,,100,False,positive,goodone:ashowaboutjokes,2024,Good One: A Show About Jokes 
39,negative,63,False,positive,ithinkwe'realonenow,2018,I Think We're Alone Now
72,positive,72,False,positive,kodachrome,2018,Kodachrome
38,negative,36,False,negative,"legallyblonde2:red,white&blonde",2017,"Legally Blonde 2: Red, White & Blonde"
53,negative,50,False,negative,liewithme,2020,Lie With Me
89,positive,88,False,positive,lilies,2020,Lilies
41,negative,58,False,negative,nightofthehunted,2023,Night of the Hunted
61,positive,73,False,positive,theburningsea,2022,The Burning Sea
42,negative,9,False,negative,thedoover,2017,The Do Over
31,negative,44,False,negative,theiceroad,2021,The Ice Road
71,positive,85,True,positive,thesquare,2018,The Square
61,positive,18,False,negative,acrimony,2018,Acrimony
77,positive,71,False,positive,bandit,2022,Bandit
78,positive,73,False,positive,brotherhoodofthewolf,2021,Brotherhood of the Wolf
55,negative,50,False,negative,escapeplan,2015,Escape Plan
89,positive,96,True,positive,mother,2011,Mother
82,positive,63,False,positive,outofafrica,2016,Out of Africa
60,positive,,False,,strangerinthewoods,2024,Stranger in the Woods
81,positive,42,False,negative,teenagemutantninjaturtles,2008,Teenage Mutant Ninja Turtles
42,negative,27,False,negative,thecrush,2016,The Crush
48,negative,51,False,negative,thethreestooges,2014,The Three Stooges
69,positive,60,False,positive,weirdscience,2013,Weird Science
71,positive,84,True,positive,battleofthesexes,2017,Battle of the Sexes
91,positive,,False,,daveattell:hotcrossbuns,2024,Dave Attell: Hot Cross Buns
62,positive,78,True,positive,goosebumps,2017,Goosebumps
72,positive,89,True,positive,paranorman,2015,ParaNorman
80,positive,76,False,positive,rumblefish,2015,Rumble Fish
95,positive,71,True,positive,theaeronauts,2019,The Aeronauts
43,negative,76,True,positive,thebay,2014,The Bay
42,negative,80,True,positive,theinnkeepers,2012,The Innkeepers
51,negative,21,False,negative,thepinkpanther,2017,The Pink Panther
